Nature's Delight Spinach,7.99,3241
Happy Hens Eggs,3.49,4178
SunRidge Romaine Hearts,2.29,8723
Stonyfield Greek Yogurt,1.79,5930
Chobani Strawberry Yogurt,2.49,6312
Ben & Jerry's Ice Cream,5.49,192
HÃ¤agen-Dazs Ice Cream,6.99,7458
So Delicious Coconut Milk,5.99,9807
Beyond Meat Ground Beef,8.49,2109
Quorn Meatless Tenders,7.99,3542
Sara Lee Wheat Bread,3.99,5274
Dave's Bread Loaf,5.29,1483
Nature's Bakery Fig Bars,4.79,8102
Pepperidge White Bread,3.49,9051
King's Hawaiian Sweet Rolls,3.29,6739
Entenmann's Cookies,3.99,4520
Chips Ahoy! Cookies,4.99,2371
Oreo Double Stuff Cookies,4.79,8593
Nutella Hazelnut Spread,6.49,1024
Skippy Peanut Butter,3.99,3751
Jif Peanut Butter,4.29,987
Smucker's Strawberry Jam,4.59,7140
Hellmann's Mayonnaise,3.29,5016
Duke's Mayonnaise,3.49,6932
Grey Poupon Dijon Mustard,4.79,2814
Frank's Pepper Sauce,2.99,9635
Sriracha Hot Chili Sauce,3.49,1572
Heinz Ketchup,2.79,8201
Hunt's Tomato Ketchup,2.49,4398
Campbell's Chicken Soup,1.29,741
Progresso Lentil Soup,1.99,3105
Amy's Kitchen Chili,3.49,5628
College Inn Noodle Soup,1.49,7916
Mott's Applesauce,2.29,9462
Musselman's Apple Butter,3.79,1350
Ocean Spray Cranberry,1.99,639
Del Monte Tomatoes,0.89,4821